Date,Lyxor PEA Monde (MSCI World) UCITS ETF - Capi
2017-03,457592.3337784816
2017-04,454263.178544348
2017-05,452101.23652402277
2017-06,446244.5147330226
2017-07,444617.582207643
2017-08,441609.4191154186
2017-09,452256.17796470464
2017-10,467400.94586139114
2017-11,469084.77251518297
2017-12,469688.9636597505
2018-01,475995.64605137944
2018-02,465380.2202694551
2018-03,451407.19096870266
2018-04,465857.0928804642
2018-05,484284.5054370083
2018-06,485750.65106726816
2018-07,497532.8014141917
2018-08,507411.6844128748
2018-09,513566.3990405378
2018-10,486635.5743484909
2018-11,490458.28056683723
2018-12,449563.38761443296
2019-01,482922.58633086586
2019-02,500644.87621329015
2019-03,515549.99352841213
2019-04,534743.5806534686
2019-05,507199.74599612504
2019-06,529761.7501711429
2019-07,543271.0106023196
2019-08,537763.1938916155
2019-09,556679.4216845016
2019-10,557225.3620168716
2019-11,581775.3730111526
2019-12,585762.6298948779
2020-01,591732.9267993023
2020-02,545451.9263328913
2020-03,474326.56645103946
2020-04,530098.3140933706
2020-05,542874.5957993701
2020-06,554174.5186153101
2020-07,548796.1921356485
2020-08,580962.632315866
2020-09,572047.5672576467
2020-10,554906.0404129007
2020-11,611142.5138676678
2020-12,621927.0029506972
2021-01,622511.7352077572
2021-02,639230.2838370466
2021-03,682948.2898178648
2021-04,693658.9337956683
2021-05,696927.6390684943
2021-06,726156.0285190609
2021-07,738632.9758119816
2021-08,760616.476477312
2021-09,745146.4160632247
2021-10,782810.7906746125
2021-11,784632.3328027839
2021-12,820782.2767241016
2022-01,789059.1949575419
2022-02,766108.2362994741
2022-03,794275.7621592851
2022-04,767094.1388571942
2022-05,755570.3623860225
2022-06,711777.0597804198
2022-07,782468.6989926962
2022-08,764619.7802408616
