Date,Amundi Physical Gold ETC (C)
2009-12,44586.77839047116
2010-01,44923.61182694022
2010-02,47504.32067500574
2010-03,48131.95980259086
2010-04,51503.36773914422
2010-05,57050.157363480124
2010-06,58939.95352638734
2010-07,52160.865409399965
2010-08,57115.92851691684
2010-09,55655.65763135778
2010-10,56476.40158312236
2010-11,61844.67470362135
2010-12,61315.40026827354
2011-01,56297.59439025715
2011-02,59239.783164445056
2011-03,58821.7528552065
2011-04,60000.841763227276
2011-05,62014.96597152828
2011-06,60470.129465498794
2011-07,66288.29664229171
2011-08,72839.83170138458
2011-09,69622.10913237672
2011-10,71364.71936476638
2011-11,75494.3774982457
2011-12,70589.81666183207
2012-01,76773.80848937365
2012-02,76361.18891870917
2012-03,72181.08910490714
2012-04,72454.04496125344
2012-05,72823.37620177213
2012-06,73597.53995765604
2012-07,76530.61908728648
2012-08,75754.55837327578
2012-09,79590.66150321346
2012-10,76652.75209470115
2012-11,76996.79816548109
2012-12,73051.12356614236
2013-01,71154.77605177178
2013-02,70063.97455349249
2013-03,72268.94291292572
2013-04,65058.79716850607
2013-05,62064.625604564564
2013-06,52744.114699117934
2013-07,57303.55847504166
2013-08,60978.52899694571
2013-09,56827.550502542275
2013-10,56147.846826905625
2013-11,53246.99787159993
2013-12,50385.403427648416
2014-01,53522.29754368443
2014-02,55525.50777718805
2014-03,54162.0185934398
2014-04,53777.13038810717
2014-05,53116.48494547156
2014-06,55640.98886838723
2014-07,55509.29888440566
2014-08,56328.20130606025
2014-09,55849.77877013063
2014-10,53695.79383087545
2014-11,54721.475593212104
2014-12,57040.98356334144
2015-01,64367.963979374086
2015-02,62356.24772151802
2015-03,63687.36205842764
2015-04,60742.44448428025
2015-05,62678.110445232385
2015-06,60391.276511195
2015-07,57786.253535230535
2015-08,58384.11668227719
2015-09,57357.96448481578
2015-10,59803.506457607364
2015-11,57886.02586658473
2015-12,56259.69779766703
2016-01,58699.024210331285
2016-02,65382.54088953443
2016-03,62626.49526497543
2016-04,64978.95984216709
2016-05,62621.08802058965
2016-06,68546.07673877681
2016-07,69571.42910243256
2016-08,67749.07413354264
2016-09,68248.43009941535
2016-10,66923.15430508557
2016-11,63787.039291671215
2016-12,63309.98096276262
2017-01,64917.07215425519
2017-02,68201.95980236244
2017-03,67014.98596706112
2017-04,66678.61432857573
2017-05,64928.247335158405
2017-06,62625.887918890454
2017-07,62177.055748879386
2017-08,63804.16111224282
2017-09,62503.07618000751
2017-10,62757.59072952635
2017-11,62119.91970608937
2017-12,62147.71859835797
2018-01,62065.622033900094
2018-02,62012.59186171069
2018-03,61746.18399385305
2018-04,62468.85385684141
2018-05,64104.568200345704
2018-06,61616.43272076909
2018-07,59755.25109447863
2018-08,59271.701618052495
2018-09,58894.209902196184
2018-10,61634.770841305224
2018-11,61536.02015412093
2018-12,64253.185916903356
2019-01,66111.25921823368
2019-02,66313.82174463943
2019-03,66160.72304205567
2019-04,65582.63645536773
2019-05,66650.22407269962
2019-06,71019.7334883888
2019-07,73423.53896488958
2019-08,79420.56152154073
2019-09,78212.95200219454
2019-10,77663.55747222346
2019-11,76218.17538758111
2019-12,77706.03584936538
2020-01,82149.90317254185
2020-02,84040.10925458618
2020-03,84143.61541165135
2020-04,89693.59045766892
2020-05,88923.2598819699
2020-06,90435.29315157891
2020-07,94976.31355158167
2020-08,93870.50237073173
2020-09,92273.27317302304
2020-10,92093.45209478388
2020-11,84213.28944020685
2020-12,88202.05698604441
2021-01,87884.73251466396
2021-02,82272.2299568202
2021-03,82512.77278155457
2021-04,83691.53076439055
2021-05,89067.61086327267
2021-06,84848.2117860555
2021-07,87798.3887922485
2021-08,87683.61213554033
2021-09,86045.95168106865
2021-10,86841.1013047189
2021-11,90758.65053845156
2021-12,91836.06439273478
2022-01,91951.06967613325
2022-02,97433.68795322909
2022-03,99944.03370056124
2022-04,103579.08669882636
2022-05,98022.60485088665
2022-06,99893.67645856118
2022-07,98171.16847019273
